IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.226.15,2052,2052,false,SIN,Asia Pacific,Singapore,7,8.50
8.219.213.112,2082,2082,false,SIN,Asia Pacific,Singapore,14,8.50
8.222.212.172,443,443,true,SIN,Asia Pacific,Singapore,58,8.50
8.219.42.72,443,443,true,SIN,Asia Pacific,Singapore,67,8.50
8.219.100.168,80,80,false,SIN,Asia Pacific,Singapore,9,8.49
8.219.6.157,80,80,false,SIN,Asia Pacific,Singapore,33,8.49
8.217.239.116,2083,2083,true,HKG,Asia Pacific,Hong Kong,106,8.48
8.219.145.245,2082,2082,false,SIN,Asia Pacific,Singapore,33,8.48
8.222.244.123,2052,2052,false,SIN,Asia Pacific,Singapore,13,8.48
47.243.161.235,2053,2053,true,HKG,Asia Pacific,Hong Kong,88,8.48
47.242.54.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,48,8.48
8.219.193.202,2096,2096,true,SIN,Asia Pacific,Singapore,52,8.47
8.219.247.203,2087,2087,true,SIN,Asia Pacific,Singapore,72,8.47
8.219.78.1,2096,2096,true,SIN,Asia Pacific,Singapore,145,8.46
47.236.166.131,2083,2083,true,SIN,Asia Pacific,Singapore,83,8.46
8.217.159.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,68,8.46
8.219.157.97,2087,2087,true,SIN,Asia Pacific,Singapore,74,8.46
8.219.142.229,8880,8880,false,SIN,Asia Pacific,Singapore,16,8.46
8.222.221.90,2087,2087,true,SIN,Asia Pacific,Singapore,75,8.45
8.219.50.180,2095,2095,false,SIN,Asia Pacific,Singapore,8,8.45
8.219.201.174,2087,2087,true,SIN,Asia Pacific,Singapore,108,8.45
8.219.101.138,2096,2096,true,SIN,Asia Pacific,Singapore,124,8.45
47.236.116.26,2087,2087,true,SIN,Asia Pacific,Singapore,61,8.45
8.222.162.45,2082,2082,false,SIN,Asia Pacific,Singapore,17,8.43
8.219.152.195,80,80,false,SIN,Asia Pacific,Singapore,8,8.43
8.217.145.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,85,8.43
47.236.165.25,8080,8080,false,SIN,Asia Pacific,Singapore,17,8.43
8.217.145.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,52,8.43
8.219.228.186,2082,2082,false,SIN,Asia Pacific,Singapore,13,8.43
8.210.101.157,8880,8880,false,HKG,Asia Pacific,Hong Kong,47,8.43
8.222.255.15,2095,2095,false,SIN,Asia Pacific,Singapore,13,8.42
8.219.201.245,2083,2083,true,SIN,Asia Pacific,Singapore,12,8.41
8.219.60.68,2082,2082,false,SIN,Asia Pacific,Singapore,16,8.41
8.217.164.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,124,8.41
8.210.3.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,8.41
8.219.107.199,2053,2053,true,SIN,Asia Pacific,Singapore,56,8.41
8.222.160.176,80,80,false,SIN,Asia Pacific,Singapore,5,8.40
8.222.221.109,2052,2052,false,SIN,Asia Pacific,Singapore,25,8.39
8.219.142.229,2086,2086,false,SIN,Asia Pacific,Singapore,30,8.39
47.236.144.208,2083,2083,true,SIN,Asia Pacific,Singapore,151,8.39
8.218.201.73,8880,8880,false,HKG,Asia Pacific,Hong Kong,52,8.39
8.219.111.147,2095,2095,false,SIN,Asia Pacific,Singapore,13,8.39
8.219.60.68,2087,2087,true,SIN,Asia Pacific,Singapore,49,8.38
8.219.70.151,443,443,true,SIN,Asia Pacific,Singapore,120,8.38
8.219.250.239,2087,2087,true,SIN,Asia Pacific,Singapore,84,8.37
8.219.66.156,2096,2096,true,NRT,Asia Pacific,Tokyo,156,8.37
47.243.42.219,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,8.35
8.217.49.34,8443,8443,true,HKG,Asia Pacific,Hong Kong,75,8.35
